Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Main Image,Blog Post,Is this featured?,Authors,Post Decription,Category
Absolute black,absolute-black,60cebc21d1b31b29eb8b94c8,60d80629711eae541d49b3cb,Sun Jun 27 2021 05:01:29 GMT+0000 (Coordinated Universal Time),Sun Jun 27 2021 05:32:27 GMT+0000 (Coordinated Universal Time),Sun Jun 27 2021 05:37:29 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/60cebc21d1b31ba2338b94cc/60d80623600226b946638eef_Absolute%20black.png,"<figure class=""w-richtext-figure-type-image w-richtext-align-center""><div><img src=""https://uploads-ssl.webflow.com/60cebc21d1b31ba2338b94cc/60d80623600226b946638eef_Absolute%20black.png"" loading=""lazy""></div><figcaption>Absolute black</figcaption></figure><p>‍</p>",false,,,granite
Arabescato,arabescato,60cebc21d1b31b29eb8b94c8,60d805206a8499e1b341af24,Sun Jun 27 2021 04:57:04 GMT+0000 (Coordinated Universal Time),Sun Jun 27 2021 05:28:05 GMT+0000 (Coordinated Universal Time),Sun Jun 27 2021 05:37:29 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/60cebc21d1b31ba2338b94cc/60d8051a501fb5118a7b90ab_Arabescato.png,"<figure class=""w-richtext-figure-type-image w-richtext-align-center""><div><img src=""https://uploads-ssl.webflow.com/60cebc21d1b31ba2338b94cc/60d8051a501fb5118a7b90ab_Arabescato.png"" loading=""lazy"" width=""auto"" height=""auto""></div><figcaption>Arabescato</figcaption></figure>",false,,,quartz
Azul platino,azul-platino,60cebc21d1b31b29eb8b94c8,60d8060e501fb5386b7b936a,Sun Jun 27 2021 05:01:02 GMT+0000 (Coordinated Universal Time),Sun Jun 27 2021 05:32:02 GMT+0000 (Coordinated Universal Time),Sun Jun 27 2021 05:37:29 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/60cebc21d1b31ba2338b94cc/60d80608658939f575645165_Azul%20platino.png,"<figure class=""w-richtext-figure-type-image w-richtext-align-center""><div><img src=""https://uploads-ssl.webflow.com/60cebc21d1b31ba2338b94cc/60d80608658939f575645165_Azul%20platino.png"" loading=""lazy""></div><figcaption>Azul platino</figcaption></figure>",false,,,granite
Black Galaxy,black-galaxy,60cebc21d1b31b29eb8b94c8,60d80656cf553d4203c3ad59,Sun Jun 27 2021 05:02:14 GMT+0000 (Coordinated Universal Time),Sun Jun 27 2021 05:32:48 GMT+0000 (Coordinated Universal Time),Sun Jun 27 2021 05:37:29 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/60cebc21d1b31ba2338b94cc/60d80651f380bf404d658350_Black%20Galaxy.png,"<figure class=""w-richtext-figure-type-image w-richtext-align-center""><div><img src=""https://uploads-ssl.webflow.com/60cebc21d1b31ba2338b94cc/60d80651f380bf404d658350_Black%20Galaxy.png"" loading=""lazy""></div><figcaption>Black Galaxy</figcaption></figure><p>‍</p>",false,,,granite
Black Pearl,black-pearl,60cebc21d1b31b29eb8b94c8,60d8072b017713464c0d3e67,Sun Jun 27 2021 05:05:47 GMT+0000 (Coordinated Universal Time),Sun Jun 27 2021 05:35:30 GMT+0000 (Coordinated Universal Time),Sun Jun 27 2021 05:37:29 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/60cebc21d1b31ba2338b94cc/60d80725c7f94f790a474ffd_Black%20Pearl.png,"<figure class=""w-richtext-figure-type-image w-richtext-align-center""><div><img src=""https://uploads-ssl.webflow.com/60cebc21d1b31ba2338b94cc/60d80725c7f94f790a474ffd_Black%20Pearl.png"" loading=""lazy""></div><figcaption>Black Pearl</figcaption></figure><p>‍</p>",false,,,granite
Blanco Taupe,blanco-taupe,60cebc21d1b31b29eb8b94c8,60d805ed18b64781f67299e9,Sun Jun 27 2021 05:00:29 GMT+0000 (Coordinated Universal Time),Sun Jun 27 2021 05:31:41 GMT+0000 (Coordinated Universal Time),Sun Jun 27 2021 05:37:29 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/60cebc21d1b31ba2338b94cc/60d805e9c7f94f1ad5474c0c_Blanco%20Taupe.png,"<figure class=""w-richtext-figure-type-image w-richtext-align-center""><div><img src=""https://uploads-ssl.webflow.com/60cebc21d1b31ba2338b94cc/60d805e9c7f94f1ad5474c0c_Blanco%20Taupe.png"" loading=""lazy""></div><figcaption>Blanco Taupe</figcaption></figure><p>‍</p>",false,,,granite
Borghini,borghini,60cebc21d1b31b29eb8b94c8,60d805368d9ed02f523c2fbe,Sun Jun 27 2021 04:57:26 GMT+0000 (Coordinated Universal Time),Sun Jun 27 2021 05:28:29 GMT+0000 (Coordinated Universal Time),Sun Jun 27 2021 05:37:29 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/60cebc21d1b31ba2338b94cc/60d805305cf05b878f0f3926_Borghini.png,"<figure class=""w-richtext-figure-type-image w-richtext-align-center""><div><img src=""https://uploads-ssl.webflow.com/60cebc21d1b31ba2338b94cc/60d805305cf05b878f0f3926_Borghini.png"" loading=""lazy"" width=""auto"" height=""auto""></div><figcaption>Borghini</figcaption></figure>",false,,,quartz
Botticino classico,botticino-classico,60cebc21d1b31b29eb8b94c8,60d8079d711eae39fc49b716,Sun Jun 27 2021 05:07:41 GMT+0000 (Coordinated Universal Time),Sun Jun 27 2021 05:36:19 GMT+0000 (Coordinated Universal Time),Sun Jun 27 2021 05:37:29 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/60cebc21d1b31ba2338b94cc/60d807986b8380d28b3b4bba_2021-06-27_00-07.png,"<figure class=""w-richtext-figure-type-image w-richtext-align-center""><div><img src=""https://uploads-ssl.webflow.com/60cebc21d1b31ba2338b94cc/60d807986b8380d28b3b4bba_2021-06-27_00-07.png"" loading=""lazy"" width=""auto"" height=""auto""></div><figcaption>Botticino classico</figcaption></figure>",false,,,granite
Botticino classico,botticino-classico-2,60cebc21d1b31b29eb8b94c8,60d807d9711eae37ab49b829,Sun Jun 27 2021 05:08:41 GMT+0000 (Coordinated Universal Time),Sun Jun 27 2021 05:36:35 GMT+0000 (Coordinated Universal Time),Sun Jun 27 2021 05:37:29 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/60cebc21d1b31ba2338b94cc/60d807d36fdf27331de19253_2021-06-27_00-08.png,"<figure class=""w-richtext-figure-type-image w-richtext-align-center""><div><img src=""https://uploads-ssl.webflow.com/60cebc21d1b31ba2338b94cc/60d807d36fdf27331de19253_2021-06-27_00-08.png"" loading=""lazy""></div><figcaption>Botticino classico</figcaption></figure><p>‍</p>",false,,,granite
Calacatta Gold,calacatta-gold,60cebc21d1b31b29eb8b94c8,60d8039a7a8c3d161b04ce78,Sun Jun 27 2021 04:50:34 GMT+0000 (Coordinated Universal Time),Sun Jun 27 2021 05:24:21 GMT+0000 (Coordinated Universal Time),Sun Jun 27 2021 05:24:33 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/60cebc21d1b31ba2338b94cc/60d8038ea207462f84536b13_Calacatta%20Gold.png,"<figure class=""w-richtext-figure-type-image w-richtext-align-center""><div><img src=""https://uploads-ssl.webflow.com/60cebc21d1b31ba2338b94cc/60d8038ea207462f84536b13_Calacatta%20Gold.png"" loading=""lazy"" width=""auto"" height=""auto""></div><figcaption>Calacatta Gold</figcaption></figure>",false,,,quartz
